encounter_id,reviewer_id,reviewer_role,los_days,human_quality,human_clarity,human_factuality,human_completeness,human_easy_understand,human_easy_verbalize,human_easy_follow_up,ai_quality,ai_clarity,ai_factuality,ai_completeness,ai_easy_understand,ai_easy_verbalize,ai_easy_follow_up,overall_preference
38,12,hospitalist,20,4,4,3,2,-1,-1,-1,4,4,4,3,-1,-1,-1,1
39,2,hospitalist,16,2,3,2,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
39,11,PCP,16,2,4,2,2,4,2,2,5,5,4,5,5,5,5,1
40,3,hospitalist,10,3,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
40,7,PCP,10,2,2,4,2,2,2,2,5,5,5,4,5,5,5,1
41,2,hospitalist,7,2,3,3,2,-1,-1,-1,5,5,5,5,-1,-1,-1,1
41,11,PCP,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
42,5,hospitalist,8,4,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
42,7,PCP,8,2,2,4,1,2,2,2,5,5,4,5,5,5,5,1
43,11,PCP,8,4,4,2,4,4,4,4,5,5,5,5,5,5,5,1
43,12,hospitalist,8,4,2,4,4,-1,-1,-1,4,4,4,4,-1,-1,-1,1
44,1,hospitalist,9,2,2,3,4,-1,-1,-1,5,4,4,5,-1,-1,-1,1
44,9,PCP,9,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
45,2,hospitalist,10,2,2,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
45,10,PCP,10,1,2,3,2,2,2,2,4,3,3,4,4,4,4,1
46,4,hospitalist,9,5,4,5,5,-1,-1,-1,5,4,5,5,-1,-1,-1,1
46,11,PCP,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
47,4,hospitalist,21,4,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
47,10,PCP,21,4,3,4,4,3,4,4,5,5,5,4,5,5,5,1
48,8,PCP,18,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1
48,12,hospitalist,18,2,4,1,2,-1,-1,-1,4,5,5,5,-1,-1,-1,1
49,2,hospitalist,18,4,3,4,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
49,7,PCP,18,2,2,2,2,2,1,1,5,4,4,5,5,4,5,1
50,3,hospitalist,9,4,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
50,10,PCP,9,4,3,4,5,4,4,4,5,5,5,4,5,5,5,1
51,4,hospitalist,10,4,5,5,5,-1,-1,-1,5,5,5,5,-1,-1,-1,1
51,9,PCP,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
52,3,hospitalist,20,4,5,4,4,-1,-1,-1,5,5,4,4,-1,-1,-1,1
52,8,PCP,20,2,4,4,2,4,3,4,4,4,4,4,4,4,4,1
53,1,hospitalist,13,3,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
53,11,PCP,13,2,4,4,2,4,3,2,5,5,5,5,5,5,5,1
54,8,PCP,8,2,3,4,2,3,4,4,5,5,5,5,5,5,5,1
54,12,hospitalist,8,4,4,4,4,-1,-1,-1,4,4,4,4,-1,-1,-1,1
55,10,PCP,11,4,4,4,4,3,4,4,5,4,4,5,4,5,5,1
55,12,hospitalist,11,4,4,4,4,-1,-1,-1,5,4,5,4,-1,-1,-1,1
56,11,PCP,10,4,4,4,4,4,4,4,4,5,4,4,5,5,5,1
56,12,hospitalist,10,4,5,4,4,-1,-1,-1,4,4,5,4,-1,-1,-1,1
57,5,hospitalist,13,3,3,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
57,9,PCP,13,4,4,5,5,4,5,4,5,5,5,5,5,5,5,1
58,5,hospitalist,7,3,4,4,4,-1,-1,-1,5,5,5,5,-1,-1,-1,1
58,6,PCP,7,1,1,3,1,1,1,1,5,5,5,5,5,5,5,1
59,3,hospitalist,9,4,4,5,5,-1,-1,-1,5,4,4,5,-1,-1,-1,1
59,9,PCP,9,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
60,1,hospitalist,15,3,2,3,3,-1,-1,-1,5,5,5,5,-1,-1,-1,1
60,6,PCP,15,4,3,4,4,4,4,4,5,5,5,5,5,5,5,1
